"o_id","d_id"
1,6
1,4
1,3
1,2
1,8
1,7
2,1
2,3
2,26
2,16
2,21
2,8
2,7
3,4
3,1
3,32
3,28
3,26
3,21
3,2
4,6
4,36
4,5
4,1
4,3
4,32
4,28
5,36
5,4
5,33
5,32
6,11
6,12
6,36
6,4
6,1
6,10
6,7
7,11
7,6
7,1
7,2
7,10
7,9
7,8
8,1
8,16
8,2
8,10
8,9
8,7
9,16
9,15
9,10
9,8
9,7
9,55
10,11
10,13
10,6
10,14
10,9
10,8
10,7
11,13
11,6
11,12
11,10
11,7
12,11
12,13
12,6
12,38
12,37
12,36
13,11
13,12
13,40
13,38
13,46
13,14
13,10
14,13
14,47
14,15
14,10
15,47
15,14
15,9
15,55
15,53
16,17
16,21
16,2
16,9
16,8
16,57
16,58
17,18
17,16
17,19
17,21
17,20
18,17
18,19
19,18
19,17
19,20
20,26
20,25
20,17
20,19
20,21
21,3
21,26
21,16
21,17
21,20
21,2
22,24
22,23
23,25
23,24
23,22
24,25
24,23
24,22
25,28
25,26
25,27
25,24
25,23
25,20
26,3
26,28
26,27
26,25
26,21
26,20
26,2
27,29
27,32
27,28
27,26
27,25
28,4
28,3
28,32
28,26
28,27
28,25
29,31
29,30
29,32
29,27
30,29
30,31
31,29
31,30
31,33
31,32
32,29
32,31
32,4
32,5
32,33
32,3
32,28
32,27
33,31
33,34
33,5
33,32
34,35
34,36
34,33
35,85
35,82
35,37
35,36
35,34
36,6
36,12
36,37
36,35
36,4
36,34
36,5
37,12
37,85
37,82
37,38
37,35
37,36
38,13
38,12
38,40
38,85
38,39
38,37
39,40
39,85
39,38
39,41
39,84
39,78
40,13
40,39
40,38
40,41
40,46
41,40
41,39
41,42
41,78
41,46
42,41
42,43
42,73
42,77
42,78
42,46
43,42
43,73
43,44
43,46
43,45
43,69
44,43
44,45
44,69
44,68
44,50
44,49
44,64
45,43
45,44
45,46
45,49
46,13
46,40
46,41
46,42
46,43
46,45
46,47
47,46
47,51
47,48
47,49
47,14
47,15
47,53
47,52
48,51
48,47
48,50
48,49
49,44
49,45
49,51
49,47
49,48
49,50
50,44
50,51
50,48
50,49
50,64
51,47
51,48
51,50
51,49
51,64
51,63
51,52
52,51
52,47
52,53
52,61
52,62
52,63
53,47
53,15
53,55
53,54
53,61
53,52
54,55
54,56
54,59
54,53
54,61
55,15
55,9
55,56
55,57
55,53
55,54
56,55
56,57
56,58
56,59
56,54
57,16
57,55
57,56
57,58
58,16
58,56
58,57
58,59
59,56
59,58
59,54
59,60
59,61
60,59
60,61
61,59
61,53
61,54
61,60
61,62
61,52
62,61
62,63
62,52
62,65
62,67
63,51
63,64
63,62
63,52
63,65
64,44
64,68
64,51
64,50
64,66
64,63
64,65
65,64
65,66
65,62
65,63
65,67
66,68
66,64
66,65
66,67
67,68
67,70
67,71
67,66
67,62
67,65
68,44
68,69
68,70
68,64
68,66
68,67
69,43
69,73
69,44
69,68
69,70
69,72
70,69
70,68
70,72
70,71
70,67
71,70
71,72
71,75
71,67
72,73
72,74
72,69
72,70
72,71
72,75
73,42
73,43
73,77
73,74
73,69
73,72
74,76
74,73
74,77
74,72
74,75
75,76
75,81
75,74
75,72
75,71
76,81
76,77
76,74
76,78
76,75
77,42
77,76
77,73
77,74
77,78
78,39
78,41
78,42
78,84
78,76
78,79
78,77
79,84
79,80
79,78
80,83
80,84
80,79
80,81
81,82
81,83
81,76
81,80
81,75
82,85
82,83
82,37
82,35
82,81
83,85
83,82
83,84
83,81
83,80
84,85
84,83
84,39
84,79
84,80
84,78
85,82
85,83
85,39
85,38
85,37
85,35
85,84
